instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;41
9x9;True;0.05;3;15;211950;5;11;5;114
10x10;True;0.001;0;7;0;6;12;5;66
11x11;True;0.042;41;97;188175;11;14;5;440
12x12;True;0.01;13;48;363;8;16;5;337
13x13;True;0.012;431;903;149;15;18;5;4045
14x14;True;0.001;0;11;0;10;18;5;73
15x15;True;0.015;27;116;148;12;21;5;725
16x16;True;0.001;0;13;0;12;20;5;106
17x17;True;0.008;155;357;365;19;24;5;1854
19x19;True;0.008;49;155;115;20;29;5;990
20x20;True;0.08;5454;11004;142;26;28;5;51957
21x21;True;0.015;57;179;371;23;30;5;1037
18x18;True;21.021;1527369;3059640;55460;43;32;5;12234092
22x22;True;0.012;405;881;262;22;33;5;4847
24x24;True;0.483;31638;63586;632;30;37;5;276955
23x23;False;299.915;20363347;40770814;374262;41;38;5;177736632
25x25;False;299.916;18483610;37000533;60415;37;39;5;184519854
38x38;True;0.026;1193;2535;135;35;39;5;8564
31x31;True;0.009;55;166;202;33;40;5;760
30x30;True;0.013;217;557;153;39;41;5;2802
40x40;True;0.012;90;280;169;30;42;5;1294
27x27;False;299.915;17199237;34429320;198956;49;42;5;177824762
34x34;True;0.023;327;785;86;35;44;5;4114
28x28;True;0.521;35516;71436;418;40;44;5;323359
26x26;True;2.252;144861;290721;1291;41;44;5;1361189
35x35;True;0.008;49;262;265;35;45;5;1570
33x33;True;0.032;1236;2634;1556;40;48;5;11735
36x36;True;0.195;12240;24746;1741;41;48;5;96984
29x29;True;0.109;6048;12277;186;38;48;5;59674
37x37;True;284.671;21116781;42304530;285861;61;55;5;160295020
32x32;False;299.917;19824632;39702358;143818;44;54;5;175804543
39x39;True;176.508;13845884;27737788;85784;65;59;5;95814112
