instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;41
9x9;True;0.012;3;15;5289;5;11;5;114
10x10;True;0.0;0;7;0;6;12;5;66
11x11;True;0.044;43;104;1242743;11;14;5;484
12x12;True;0.009;8;37;176;8;16;5;253
13x13;True;0.009;248;531;577;15;18;5;2508
14x14;True;0.001;0;11;0;10;18;5;73
15x15;True;0.009;15;82;120;12;21;5;528
16x16;True;0.001;0;13;0;12;20;5;106
17x17;True;0.018;177;414;208;19;24;5;2072
19x19;True;0.051;55;181;127;20;29;5;1205
20x20;True;0.189;15808;32009;1001;26;28;5;172728
21x21;True;0.007;14;81;152;23;30;5;489
18x18;True;8.446;626747;1266594;18593;37;32;5;5258488
22x22;True;0.027;463;1000;90;22;33;5;5620
24x24;True;2.311;166392;337232;7618;31;37;5;1474009
23x23;False;299.916;21008016;42298985;634077;44;38;5;185454676
25x25;False;299.917;19202270;38596661;735821;40;39;5;193224137
38x38;True;0.033;951;2039;154;35;39;5;6953
31x31;True;0.022;101;317;166;30;40;5;1422
30x30;True;0.015;106;313;232;41;41;5;1559
40x40;True;0.023;57;246;129;31;42;5;1192
27x27;True;90.153;5190629;10441183;176531;47;42;5;55836046
34x34;True;0.048;490;1112;204;35;44;5;5393
28x28;True;2.217;155278;315578;9386;40;44;5;1461546
26x26;True;6.992;461931;937068;76059;43;44;5;4405241
35x35;True;0.009;83;310;246;35;45;5;1664
33x33;True;0.022;805;1905;300;40;48;5;8815
36x36;True;0.028;1329;2961;237;40;48;5;10905
29x29;True;23.82;1503952;3046444;149949;41;48;5;14495462
37x37;False;299.911;22668745;45828050;979918;60;55;5;173688864
32x32;False;299.919;20302657;40953876;1126036;44;54;5;181310273
39x39;True;2.83;225368;462977;12376;49;59;5;1638602
