instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.001;0;5;0;4;8;5;41
9x9;True;0.01;6;25;108;5;11;5;178
10x10;True;0.0;0;7;0;6;12;5;66
11x11;True;0.015;44;117;135;11;14;5;554
12x12;True;0.039;8;33;199977;8;16;5;236
13x13;True;0.009;210;448;189;15;18;5;2100
14x14;True;0.001;0;11;0;10;18;5;73
15x15;True;0.013;18;87;177;12;21;5;547
16x16;True;0.001;0;13;0;12;20;5;106
17x17;True;0.015;138;324;102;19;24;5;1579
19x19;True;0.021;45;156;143;20;29;5;1072
20x20;True;57.983;5206917;10642323;1010480;27;28;5;62897133
21x21;True;0.022;64;207;140;23;30;5;1283
18x18;True;175.858;13748168;28773837;3470255;32;32;5;130606613
22x22;True;0.021;455;996;188;23;33;5;5345
24x24;False;299.915;24343431;51075100;6911355;31;37;5;226185148
23x23;False;299.915;24220248;51301823;5034311;40;38;5;238343127
25x25;False;299.922;24067681;50215495;5281951;29;39;5;267017632
38x38;True;0.02;578;1295;192;35;39;5;4612
31x31;True;0.011;66;243;119;30;40;5;1184
30x30;True;0.013;260;647;163;39;41;5;3231
40x40;True;0.01;53;177;142;30;42;5;826
27x27;False;299.917;19595473;40956651;5011979;23;42;5;239550156
34x34;True;0.012;305;714;177;36;44;5;3457
28x28;False;299.918;21263060;44931236;5603516;32;44;5;214863543
26x26;False;299.913;20429120;43674556;6754992;41;44;5;208743565
35x35;True;0.01;32;182;122;35;45;5;1137
33x33;True;0.013;351;812;234;40;48;5;3705
36x36;True;0.037;1456;3189;303;40;48;5;12070
29x29;False;299.917;18516743;39639249;5209192;39;48;5;198235720
37x37;True;112.806;8671929;18928329;2775802;46;55;5;75993753
32x32;False;299.918;19795543;42605873;8871401;36;54;5;202219715
39x39;True;1.126;78392;171846;151398;47;59;5;647261
