instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;41
9x9;True;0.047;4;19;163727;5;11;5;143
10x10;True;0.0;0;7;0;6;12;5;66
11x11;True;0.013;42;103;1556;11;14;5;473
12x12;True;0.019;10;39;155;8;16;5;270
13x13;True;0.007;203;444;148;15;18;5;2136
14x14;True;0.001;0;11;0;10;18;5;73
15x15;True;0.016;11;63;134;12;21;5;422
16x16;True;0.001;0;13;0;12;20;5;106
17x17;True;0.01;192;440;143;19;24;5;2156
19x19;True;0.009;26;99;116;20;29;5;694
20x20;True;0.16;12349;24958;348;28;28;5;126389
21x21;True;0.009;60;187;148;23;30;5;1108
18x18;True;14.247;1045584;2094916;6270;44;32;5;8430032
22x22;True;0.026;743;1589;158;23;33;5;8287
24x24;True;1.827;127004;255204;2130;38;37;5;1109163
23x23;False;299.909;19958943;39938376;98822;42;38;5;174530113
25x25;False;299.915;17971851;35960093;29502;36;39;5;180410419
38x38;True;0.019;751;1647;111;35;39;5;5820
31x31;True;0.015;61;216;136;30;40;5;1033
30x30;True;0.023;135;355;105;39;41;5;1920
40x40;True;0.021;44;177;140;30;42;5;832
27x27;True;54.309;3002939;6012098;18021;37;42;5;31679676
34x34;True;0.014;278;666;738;36;44;5;3246
28x28;True;2.756;179122;359971;3330;40;44;5;1640535
26x26;True;6.443;411787;826820;4071;43;44;5;3887769
35x35;True;0.022;44;195;205;35;45;5;1078
33x33;True;0.028;899;1949;141;40;48;5;8757
36x36;True;0.029;658;1483;153;40;48;5;5597
29x29;True;6.16;386093;775504;5042;40;48;5;3665399
37x37;True;62.719;4627273;9269307;31272;58;55;5;35012251
32x32;False;299.919;19663030;39351071;46254;41;54;5;174425595
39x39;False;299.918;23214198;46462274;286097;57;59;5;161686707
