instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;44
9x9;True;0.0;0;6;0;5;11;5;45
10x10;True;0.018;9;40;2241;7;12;5;323
11x11;True;0.04;53;131;210549;15;14;5;540
12x12;True;0.02;9;52;158;10;16;5;348
13x13;True;0.021;257;550;1297;19;18;5;2625
14x14;True;0.009;166;365;93;14;18;5;1930
15x15;True;0.009;36;106;194;19;21;5;649
16x16;True;0.023;46;125;90563;19;20;5;855
17x17;True;0.042;2992;6066;313;22;24;5;24134
19x19;True;0.051;254;552;194;25;29;5;2832
20x20;True;2.123;163678;328132;8737;34;28;5;1378251
21x21;True;0.02;106;251;147;31;30;5;1372
18x18;True;1.657;134819;270416;1379;39;32;5;999005
22x22;True;0.105;7653;15438;203;29;33;5;81157
24x24;True;0.296;19761;39749;299;32;37;5;179005
23x23;True;50.618;3701376;7416068;28200;50;38;5;31295794
25x25;True;5.915;363660;728933;2262;40;39;5;3825790
38x38;True;2.693;233375;468267;1068741;47;39;5;1530917
31x31;True;0.981;72195;145084;1219473;45;40;5;528765
30x30;True;0.583;43839;88089;403;45;41;5;328602
40x40;True;1.188;100413;201602;843;53;42;5;721654
27x27;True;19.621;1235080;2474749;5502;50;42;5;12222406
34x34;True;7.309;546700;1096570;4437;59;44;5;4549963
28x28;True;5.957;411089;824202;2261;53;44;5;3683516
26x26;False;299.917;19969579;39989116;79839;60;44;5;184750165
35x35;False;299.916;21060874;42180171;67524;63;45;5;187806776
33x33;True;99.45;7124717;14270621;118726;56;48;5;60685484
36x36;True;32.442999;2516805;5042436;21473;54;48;5;19495531
29x29;False;299.917;20489305;41029556;111682;56;48;5;187617299
37x37;False;299.917;23560141;47189812;202064;73;55;5;182946193
32x32;False;299.918;20843933;41744543;454715;60;54;5;180606114
39x39;False;299.92;27204214;54488265;719814;95;59;5;172490113
