instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;44
9x9;True;0.0;0;6;0;5;11;5;45
10x10;True;0.013;5;27;125;7;12;5;245
11x11;True;0.009;161;341;163;16;14;5;1441
12x12;True;0.017;18;72;82;11;16;5;448
13x13;True;0.034;1664;3413;35268;23;18;5;15366
14x14;True;0.017;293;612;104;13;18;5;3250
15x15;True;0.015;114;262;132;19;21;5;1409
16x16;True;0.01;44;111;84;14;20;5;691
17x17;True;0.031;1615;3364;324;21;24;5;13353
19x19;True;0.032;1179;2484;288;22;29;5;11628
20x20;True;0.6;48718;98842;2019;32;28;5;444187
21x21;True;0.057;4176;8632;573;25;30;5;41163
18x18;True;4.873;400779;810814;13174;41;32;5;3090361
22x22;True;0.397;27085;55195;4588;30;33;5;284591
24x24;True;0.241;16344;33616;1696;34;37;5;158063
23x23;True;44.836;3352046;6762057;103940;52;38;5;29075530
25x25;True;4.43;289767;587047;14653;41;39;5;3203724
38x38;True;1.046;90896;185767;218767;45;39;5;622301
31x31;True;0.28;22674;46506;1099;44;40;5;175370
30x30;True;31.488;2527261;5101138;69428;49;41;5;19862346
40x40;True;0.054;2804;5881;258;39;42;5;24821
27x27;True;16.768999;1071973;2164495;151868;43;42;5;11096696
34x34;True;33.144;2549278;5144942;84013;48;44;5;21812284
28x28;True;2.017;147136;298117;4750;43;44;5;1382145
26x26;True;89.996;6170276;12441826;204288;57;44;5;58700411
35x35;True;175.844;12274724;24738712;331085;63;45;5;115766192
33x33;True;15.251;1105989;2236390;28791;48;48;5;9722505
36x36;True;12.764;1016459;2056253;191229;56;48;5;8282314
29x29;False;299.92;21015387;42343885;795774;62;48;5;196032551
37x37;False;299.907;24178752;48760407;1139475;75;55;5;190908835
32x32;False;299.918;20974667;42291834;1437093;56;54;5;189590264
39x39;False;299.917;27588967;55659801;1557112;85;59;5;177871111
