instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;44
9x9;True;0.0;0;6;0;5;11;5;45
10x10;True;0.007;4;22;74;7;12;5;207
11x11;True;0.017;136;294;134;20;14;5;1214
12x12;True;0.02;286;601;77;14;16;5;3729
13x13;True;0.047;177;401;1289136;17;18;5;1959
14x14;True;0.021;514;1068;130;16;18;5;5198
15x15;True;0.019;606;1292;223;19;21;5;6849
16x16;True;0.048;34;101;186852;18;20;5;666
17x17;True;0.022;75;206;135;21;24;5;1115
19x19;True;0.146;10430;21656;1723;30;29;5;98341
20x20;True;0.212;15786;32773;7052;26;28;5;154122
21x21;True;0.02;979;2100;420;25;30;5;10037
18x18;True;2.28;195201;409918;26536;40;32;5;1650026
22x22;True;0.107;8308;17377;1816;29;33;5;92059
24x24;True;0.493;35557;74349;4113;34;37;5;350288
23x23;True;60.894;4898678;10345119;842480;49;38;5;49517318
25x25;True;0.336;21734;45584;3109;36;39;5;266280
38x38;True;7.78;779235;1643949;314336;51;39;5;5610012
31x31;True;0.726;61137;128436;7796;41;40;5;500680
30x30;True;23.106;1883429;3985284;492655;47;41;5;17014361
40x40;True;0.185;13531;28568;2839;41;42;5;115636
27x27;True;13.284;871239;1834645;187596;47;42;5;10387063
34x34;True;8.231999;638467;1348103;187620;42;44;5;6325794
28x28;True;5.664;402584;844803;490749;46;44;5;4235114
26x26;True;17.663;1220144;2590852;461237;52;44;5;13543732
35x35;True;42.833;3148452;6682091;687435;52;45;5;35000134
33x33;True;19.202;1372105;2913216;594552;45;48;5;13696127
36x36;True;0.093;6562;14089;810;43;48;5;61666
29x29;False;299.919;20059075;42799251;8059326;58;48;5;219536321
37x37;False;299.916;24710709;53149324;8854922;68;55;5;226163747
32x32;False;299.911;19070133;40835740;9069237;57;54;5;205054306
39x39;False;299.918;27910768;60576534;6567193;85;59;5;204429044
