instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;44
9x9;True;0.0;0;6;0;5;11;5;45
10x10;True;0.019;7;27;95;7;12;5;240
11x11;True;0.038;67;157;191975;13;14;5;691
12x12;True;0.029;1683;3432;171;16;16;5;19742
13x13;True;0.027;220;476;22439;17;18;5;2215
14x14;True;0.023;98;219;37658;11;18;5;1144
15x15;True;0.012;129;287;124;18;21;5;1724
16x16;True;0.022;43;123;2329;17;20;5;807
17x17;True;0.074;6095;12380;396;26;24;5;48712
19x19;True;0.247;20555;41507;788;30;29;5;180245
20x20;True;0.756;64586;129850;759;31;28;5;552076
21x21;True;0.043;1755;3588;131;25;30;5;17652
18x18;True;7.886;637334;1277891;4081;48;32;5;4767014
22x22;True;0.051;3000;6167;368;29;33;5;32445
24x24;True;0.361;27261;55047;710;34;37;5;246703
23x23;True;45.429;3279554;6567644;34338;50;38;5;27794259
25x25;True;0.414;23727;47996;784;33;39;5;263911
38x38;True;3.856;343806;690588;6582;51;39;5;2213998
31x31;True;0.582;43662;88197;1257682;40;40;5;326645
30x30;True;25.938;2027732;4062519;25343;49;41;5;15493802
40x40;True;0.056;290;655;170;33;42;5;2883
27x27;True;8.351;522858;1048653;4037;39;42;5;5232197
34x34;True;35.031;2572745;5153235;22505;51;44;5;21305496
28x28;True;0.884;61915;124659;1242;45;44;5;568878
26x26;False;299.918;19625536;39273857;117894;55;44;5;181255183
35x35;True;2.962;203968;410273;2813;56;45;5;1902495
33x33;True;21.54;1542975;3092001;33526;58;48;5;13212018
36x36;True;4.638;369530;742093;6774;51;48;5;2924551
29x29;False;299.917;20355826;40734860;73056;63;48;5;185718465
37x37;False;299.916;23368432;46766910;84220;73;55;5;180025687
32x32;False;299.917;20659000;41343566;105387;60;54;5;179234575
39x39;False;299.917;26891601;53819234;63316;91;59;5;170807776
