instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;41
9x9;True;0.0;1;7;0;5;11;5;70
10x10;True;0.0;0;7;0;6;12;5;66
11x11;True;0.001;19;48;0;11;14;5;237
12x12;True;0.001;5;18;0;8;16;5;151
13x13;True;0.001;67;147;0;12;18;5;750
14x14;True;0.001;0;11;0;10;18;5;73
15x15;True;0.0;1;15;0;12;21;5;109
16x16;True;0.0;0;13;0;12;20;5;106
17x17;True;0.001;23;61;0;19;24;5;348
19x19;True;0.001;8;35;0;20;29;5;233
20x20;True;0.051;4492;9043;0;28;28;5;42114
21x21;True;0.001;2;26;0;23;30;5;160
18x18;True;5.339;404631;809372;0;44;32;5;3064370
22x22;True;0.002;66;153;0;22;33;5;935
24x24;True;0.28;19695;39501;0;30;37;5;167924
23x23;False;299.92;20514458;41029045;0;55;38;5;173386632
25x25;True;113.538;6469599;12939327;0;45;39;5;67738492
38x38;True;0.018;1804;3695;0;35;39;5;12515
31x31;True;0.001;15;59;0;33;40;5;348
30x30;True;0.001;16;62;0;39;41;5;404
40x40;True;0.001;7;46;0;30;42;5;259
27x27;True;13.76;810112;1620378;0;42;42;5;7952580
34x34;True;0.002;59;148;0;35;44;5;705
28x28;True;0.311;20078;40276;0;39;44;5;181857
26x26;True;0.666;41988;84124;0;42;44;5;394179
35x35;True;0.001;4;40;0;35;45;5;251
33x33;True;0.025;1874;3827;0;40;48;5;17196
36x36;True;0.022;1510;3177;0;40;48;5;10717
29x29;True;3.181;199056;398276;0;43;48;5;1846602
37x37;False;299.918;22087534;44175252;0;63;55;5;164575696
32x32;False;299.919;19139771;38279701;0;51;54;5;171251230
39x39;False;299.917;23213931;46428073;0;64;59;5;155695270
