instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;0;5;0;4;8;5;39
9x9;True;0.0;3;11;0;7;11;5;71
10x10;True;0.0;6;19;0;12;12;5;125
11x11;True;0.0;13;36;0;13;14;5;159
12x12;True;0.002;296;600;0;15;16;5;3251
13x13;True;0.001;39;90;0;18;18;5;496
14x14;True;0.001;20;50;0;13;18;5;331
15x15;True;0.001;97;206;0;15;21;5;1170
16x16;True;0.087;7500;15043;0;27;20;5;83594
17x17;True;0.325;25119;50300;0;42;24;5;224268
19x19;True;0.096;8069;16197;0;34;29;5;86939
20x20;False;299.922;19743124;39486342;0;55;28;5;179106094
21x21;False;299.921;16454588;32909263;0;49;30;5;175754965
18x18;True;0.913;73377;146872;0;48;32;5;544248
22x22;True;0.942;55977;112075;0;41;33;5;605635
24x24;False;299.921;16143666;32287440;0;67;37;5;179547596
23x23;False;299.921;21512505;43025160;0;64;38;5;171432773
25x25;False;299.921;17229665;34459452;0;46;39;5;186252424
38x38;False;299.921;25729617;51459385;0;65;39;5;159789244
31x31;False;299.92;20022926;40045993;0;69;40;5;168035239
30x30;False;299.921;18171614;36343333;0;64;41;5;172148626
40x40;False;299.922;22350956;44702059;0;49;42;5;164556561
27x27;False;299.92;19669398;39338940;0;63;42;5;178321690
34x34;False;299.921;16379842;32759802;0;54;44;5;177742733
28x28;False;299.921;18406244;36812614;0;54;44;5;174527690
26x26;False;299.921;16390425;32780979;0;79;44;5;178463596
35x35;False;299.918;22880022;45760196;0;62;45;5;174268545
33x33;False;299.92;19039291;38078739;0;64;48;5;177570746
36x36;False;299.921;16221957;32444051;0;63;48;5;169306674
29x29;False;299.921;21805485;43611146;0;59;48;5;175449241
37x37;False;299.921;17753759;35507714;0;60;55;5;170789595
32x32;False;299.921;16250450;32501046;0;48;54;5;180621929
39x39;False;299.915;23097193;46194581;0;65;59;5;159272469
