instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.0;1;6;0;3;8;5;43
9x9;True;0.0;1;7;0;5;11;5;62
10x10;True;0.0;20;48;0;11;12;5;289
11x11;True;0.001;242;494;0;18;14;5;1723
12x12;True;0.004;600;1209;0;14;16;5;6742
13x13;True;0.06;6168;12375;0;25;18;5;63285
14x14;True;0.003;275;560;0;19;18;5;3524
15x15;True;0.004;476;961;0;19;21;5;4905
16x16;True;0.01;1063;2138;0;22;20;5;12003
17x17;True;0.166;14140;28342;0;35;24;5;118522
19x19;True;162.307;9253161;18506427;0;45;29;5;101083744
20x20;True;25.936;1774768;3549647;0;44;28;5;15855838
21x21;True;51.626;3010473;6021055;0;47;30;5;31093266
18x18;False;299.918;26797412;53594952;0;64;32;5;178541970
22x22;True;51.084;3360327;6720773;0;46;33;5;31817910
24x24;False;299.922;17745939;35491986;0;60;37;5;183086356
23x23;False;299.922;24328669;48657489;0;59;38;5;181265181
25x25;False;299.919;17921491;35843098;0;48;39;5;190610734
38x38;False;299.922;27962948;55926060;0;53;39;5;164320704
31x31;False;299.922;23464297;46928721;0;70;40;5;176240604
30x30;True;203.712;12925911;25851968;0;78;41;5;119852924
40x40;False;299.919;25465924;50932006;0;56;42;5;171176677
27x27;False;299.922;24878644;49757454;0;67;42;5;181539081
34x34;False;299.922;19757661;39515445;0;51;44;5;180135703
28x28;False;299.922;24141516;48283197;0;62;44;5;181903623
26x26;False;299.921;21058812;42117790;0;64;44;5;186999274
35x35;False;299.921;25699491;51399126;0;62;45;5;175846868
33x33;False;299.921;24359575;48719318;0;59;48;5;174392535
36x36;False;299.921;20488416;40976961;0;55;48;5;175065517
29x29;False;299.921;27143416;54287005;0;65;48;5;182180891
37x37;False;299.921;25554562;51109301;0;61;55;5;175049092
32x32;False;299.921;17602949;35206056;0;71;54;5;187590925
39x39;False;299.921;30978699;61957572;0;68;59;5;180431958
