instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.001;0;6;0;5;100;102;336
9x9;True;0.0;0;9;0;8;168;178;591
10x10;True;0.001;3;17;0;12;210;204;1288
11x11;True;0.001;4;21;0;12;296;312;1332
12x12;True;0.001;18;49;0;12;405;436;2918
13x13;True;0.002;51;116;0;19;466;478;11823
14x14;True;0.001;16;50;0;21;486;510;3476
15x15;True;0.001;10;41;0;22;616;666;4402
16x16;True;0.001;8;36;0;24;597;627;3848
17x17;True;0.006;207;436;0;31;843;876;40261
19x19;True;0.001;9;49;0;34;1144;1175;5829
20x20;True;0.005;195;422;0;36;1141;1191;32229
21x21;True;0.007;255;539;0;43;1255;1245;61566
18x18;True;0.023;1586;3302;0;36;1396;1379;281329
22x22;True;0.006;132;299;0;38;1496;1587;31197
24x24;True;0.107;13493;27148;0;41;1818;1841;5092969
23x23;True;0.056;5194;10597;0;44;2048;2067;1527504
25x25;True;0.033;2336;4818;0;45;2087;2158;747868
38x38;True;1.287;199371;398958;0;50;2035;2042;52578403
31x31;True;0.002;7;57;0;43;2076;2145;9215
30x30;True;0.002;0;47;0;46;2260;2301;7971
40x40;True;0.005;118;279;0;45;2198;2148;34159
27x27;True;0.575;66149;132474;0;49;2482;2480;28132000
34x34;True;0.003;5;60;0;49;2489;2520;9395
28x28;True;0.008;97;241;0;50;2681;2638;40267
26x26;True;0.573;65858;131943;0;56;2733;2746;26197487
35x35;True;0.002;9;69;0;57;2684;2651;11592
33x33;True;19.082;2314125;4628476;0;64;2966;2968;911515105
36x36;True;0.003;3;63;0;57;3006;3047;11481
29x29;True;274.325;29315664;58631540;0;58;3182;3127;14950243340
37x37;False;299.721;28978001;57956214;0;68;4022;3930;12962922525
32x32;True;0.231;15503;31186;0;69;4102;4120;7173285
39x39;False;299.68;24754733;49509675;0;69;4498;4292;12606247936
