instance_name;sol_found;solveTime;failures;nodes;restarts;peakDepth;variables;propagators;propagations
8x8;True;0.001;0;7;0;6;100;102;345
9x9;True;0.0;1;10;0;8;168;178;760
10x10;True;0.001;4;19;0;12;210;204;1373
11x11;True;0.001;5;23;0;12;296;312;1352
12x12;True;0.001;49;110;0;14;405;436;6563
13x13;True;0.002;20;57;0;16;466;478;5807
14x14;True;0.001;18;55;0;24;486;510;3760
15x15;True;0.001;3;26;0;22;616;666;3459
16x16;True;0.001;4;28;0;21;597;627;2769
17x17;True;0.004;119;264;0;27;843;876;22422
19x19;True;0.002;9;48;0;34;1144;1175;6588
20x20;True;0.006;206;444;0;31;1141;1191;35689
21x21;True;0.005;118;264;0;41;1255;1245;38500
18x18;True;0.001;10;55;0;38;1396;1379;6404
22x22;True;0.003;47;126;0;38;1496;1587;19022
24x24;True;0.114;14145;28478;0;41;1818;1841;5437786
23x23;True;0.019;1266;2613;0;48;2048;2067;387680
25x25;True;0.022;2235;4650;0;51;2087;2158;577042
38x38;True;0.652;101199;202619;0;48;2035;2042;28190705
31x31;True;0.003;25;92;0;48;2076;2145;15085
30x30;True;0.155;19339;38850;0;48;2260;2301;5839489
40x40;True;0.005;124;291;0;45;2198;2148;31740
27x27;True;0.264;32587;65385;0;50;2482;2480;13060760
34x34;True;0.027;2264;4672;0;61;2489;2520;798303
28x28;True;0.091;8074;16287;0;54;2681;2638;2624040
26x26;True;0.497;58012;116267;0;51;2733;2746;25095772
35x35;True;0.003;55;158;0;49;2684;2651;20475
33x33;True;199.512;24681547;49363298;0;65;2966;2968;9851533437
36x36;True;0.052;3686;7562;0;54;3006;3047;987328
29x29;False;299.699;31946196;63892687;0;60;3182;3127;15548432282
37x37;False;299.704;28343347;56686922;0;67;4022;3930;14278610357
32x32;True;0.009;100;258;0;70;4102;4120;48392
39x39;False;299.701;25418481;50837172;0;66;4498;4292;11772535859
