instance_name;sol_found;solveTime
8x8;True;0.011
9x9;True;0.019
10x10;True;0.022
11x11;True;0.028
12x12;True;0.052
13x13;True;0.095
14x14;True;0.12
15x15;True;0.085
16x16;True;0.209
17x17;True;0.28
19x19;True;2.524
20x20;True;1.537
21x21;True;0.499
18x18;True;1.275
22x22;True;4.515
24x24;True;6.255
23x23;True;14.419
25x25;True;44.832
38x38;True;38.976
31x31;True;0.877
30x30;True;48.682
40x40;True;13.377
27x27;True;241.603
28x28;False;300.021
34x34;True;152.758
26x26;True;237.395
35x35;True;93.554
29x29;False;300.035
33x33;True;39.139
36x36;True;93.167
37x37;False;300.05
32x32;False;300.043
39x39;False;300.036
