instance_name;sol_found;solveTime
8x8;True;0.008
9x9;True;0.01
10x10;True;0.012
11x11;True;0.017
12x12;True;0.022
13x13;True;0.034
14x14;True;0.032
15x15;True;0.03
16x16;True;0.046
17x17;True;0.072
19x19;True;0.13
20x20;True;0.183
21x21;True;0.228
18x18;True;0.233
22x22;True;0.363
24x24;True;0.705
23x23;True;0.986
25x25;True;0.797
38x38;True;1.45
31x31;True;0.839
30x30;True;2.02
40x40;True;2.286
27x27;True;1.56
28x28;True;4.442
34x34;True;2.076
26x26;True;2.056
35x35;True;2.221
29x29;True;2.386
33x33;True;15.522
36x36;True;3.139
37x37;True;71.445
32x32;True;30.856
39x39;True;59.27
