instance_name;sol_found;solveTime
8x8;True;0.009
9x9;True;0.01
10x10;True;0.015
11x11;True;0.017
12x12;True;0.02
13x13;True;0.035
14x14;True;0.031
15x15;True;0.029
16x16;True;0.046
17x17;True;0.072
19x19;True;0.128
20x20;True;0.177
21x21;True;0.225
18x18;True;0.216
22x22;True;0.338
24x24;True;0.643
23x23;True;0.953
25x25;True;0.814
38x38;True;1.458
31x31;True;0.804
30x30;True;1.997
40x40;True;2.179
27x27;True;1.465
28x28;True;4.181
34x34;True;1.889
26x26;True;1.894
35x35;True;1.941
29x29;True;2.278
33x33;True;15.319
36x36;True;3.012
37x37;True;72.098
32x32;True;30.604
39x39;True;57.758
